payment_id,payment_code,order_id,payment_date,payment_method,payment_status,transaction_amount,transaction_reference
74,PAY000074,74,2025-01-18,Cash,Refunded,33262.58,TXN100074
75,PAY000075,75,2023-06-28,UPI,Refunded,4666.33,TXN100075
76,PAY000076,76,2024-11-14,UPI,Refunded,15211.58,TXN100076
77,PAY000077,77,2023-02-01,Cash,Pending,69187.68,TXN100077
78,PAY000078,78,2023-08-01,Net Banking,Refunded,41111.49,TXN100078
79,PAY000079,79,2023-12-04,Credit Card,Completed,37229.45,TXN100079
80,PAY000080,80,2024-05-15,Credit Card,Pending,39816.57,TXN100080
81,PAY000081,81,2023-11-19,Credit Card,Completed,23075.41,TXN100081
82,PAY000082,82,2025-06-04,Credit Card,Completed,14577.13,TXN100082
83,PAY000083,83,2023-03-29,Net Banking,Completed,37654.38,TXN100083
84,PAY000084,84,2024-02-13,Debit Card,Refunded,65829.5,TXN100084
85,PAY000085,85,2024-08-18,Net Banking,Completed,16447.69,TXN100085
86,PAY000086,86,2023-06-02,Cash,Pending,68883.49,TXN100086
87,PAY000087,87,2024-11-27,Cash,Pending,73922.87,TXN100087
88,PAY000088,88,2023-07-17,Cash,Refunded,1099.74,TXN100088
89,PAY000089,89,2024-02-14,Debit Card,Refunded,80393.28,TXN100089
90,PAY000090,90,2024-12-12,Cash,Completed,31980.55,TXN100090
91,PAY000091,91,2025-01-25,Debit Card,Completed,55025.8,TXN100091
92,PAY000092,92,2024-09-03,Net Banking,Completed,89347.05,TXN100092
93,PAY000093,93,2023-05-22,Net Banking,Refunded,8971.3,TXN100093
94,PAY000094,94,2023-12-22,UPI,Completed,78649.08,TXN100094
95,PAY000095,95,2023-07-21,Debit Card,Completed,1146.97,TXN100095
96,PAY000096,96,2023-06-09,Credit Card,Pending,14489.08,TXN100096
97,PAY000097,97,2024-12-26,Credit Card,Pending,64798.35,TXN100097
98,PAY000098,98,2023-05-15,UPI,Refunded,26354.45,TXN100098
99,PAY000099,99,2023-04-05,Cash,Refunded,25837.14,TXN100099
100,PAY000100,100,2023-04-17,Debit Card,Completed,37707.21,TXN100100
101,PAY000101,101,2024-07-07,Cash,Pending,79178.72,TXN100101
102,PAY000102,102,2024-04-30,UPI,Pending,31274.67,TXN100102
103,PAY000103,103,2023-08-11,Net Banking,Completed,49825.42,TXN100103
104,PAY000104,104,2024-03-26,Cash,Pending,35067.71,TXN100104
105,PAY000105,105,2023-07-20,Debit Card,Completed,31150.38,TXN100105
106,PAY000106,106,2025-06-05,Credit Card,Completed,48712.52,TXN100106
107,PAY000107,107,2024-05-11,Cash,Pending,48347.21,TXN100107
108,PAY000108,108,2024-07-06,Cash,Refunded,23228.59,TXN100108
109,PAY000109,109,2024-12-05,Credit Card,Completed,47149.47,TXN100109
110,PAY000110,110,2024-11-21,Net Banking,Pending,50445.28,TXN100110
111,PAY000111,111,2024-06-10,Net Banking,Refunded,79102.48,TXN100111
112,PAY000112,112,2023-04-20,Debit Card,Completed,84479.6,TXN100112
113,PAY000113,113,2023-08-11,Net Banking,Completed,52182.94,TXN100113
114,PAY000114,114,2023-10-25,UPI,Pending,60143.42,TXN100114
115,PAY000115,115,2023-09-04,Net Banking,Pending,2158.41,TXN100115
116,PAY000116,116,2023-05-11,Debit Card,Pending,55548.05,TXN100116
117,PAY000117,117,2025-05-24,Credit Card,Pending,83592.52,TXN100117
118,PAY000118,118,2025-04-14,Debit Card,Refunded,62344.43,TXN100118
119,PAY000119,119,2024-08-31,Net Banking,Completed,68869.71,TXN100119
120,PAY000120,120,2024-03-16,Cash,Completed,42218.62,TXN100120
121,PAY000121,121,2025-06-29,Cash,Completed,15301.47,TXN100121
122,PAY000122,122,2024-05-18,UPI,Pending,53926.91,TXN100122
123,PAY000123,123,2025-06-17,Net Banking,Refunded,53892.0,TXN100123
124,PAY000124,124,2023-04-16,UPI,Completed,38480.64,TXN100124
125,PAY000125,125,2023-10-06,Credit Card,Pending,73641.77,TXN100125
126,PAY000126,126,2024-05-03,Debit Card,Pending,17490.44,TXN100126
127,PAY000127,127,2024-08-18,UPI,Refunded,82985.31,TXN100127
128,PAY000128,128,2024-02-06,Net Banking,Pending,9210.62,TXN100128
129,PAY000129,129,2023-06-14,Cash,Pending,46636.0,TXN100129
130,PAY000130,130,2024-09-26,Net Banking,Pending,32351.0,TXN100130
131,PAY000131,131,2024-07-02,Debit Card,Refunded,27463.86,TXN100131
132,PAY000132,132,2024-04-22,Credit Card,Pending,62679.79,TXN100132
133,PAY000133,133,2024-11-04,Credit Card,Refunded,54730.9,TXN100133
134,PAY000134,134,2024-02-21,Net Banking,Refunded,33026.65,TXN100134
135,PAY000135,135,2024-04-17,Net Banking,Refunded,76381.09,TXN100135
136,PAY000136,136,2023-12-07,Credit Card,Refunded,48765.21,TXN100136
137,PAY000137,137,2024-08-04,Cash,Pending,7452.82,TXN100137
138,PAY000138,138,2023-08-30,Cash,Completed,38030.35,TXN100138
139,PAY000139,139,2023-11-30,Debit Card,Completed,21998.91,TXN100139
140,PAY000140,140,2025-02-26,Debit Card,Pending,28813.9,TXN100140
141,PAY000141,141,2023-09-27,UPI,Refunded,78809.08,TXN100141
142,PAY000142,142,2024-04-18,Credit Card,Completed,5223.12,TXN100142
143,PAY000143,143,2024-01-05,Debit Card,Completed,73430.53,TXN100143
144,PAY000144,144,2024-11-16,Net Banking,Pending,56445.45,TXN100144
145,PAY000145,145,2024-04-17,Net Banking,Pending,29936.59,TXN100145
146,PAY000146,146,2024-09-14,Debit Card,Refunded,62990.63,TXN100146
147,PAY000147,147,2024-12-21,Debit Card,Pending,90341.09,TXN100147
148,PAY000148,148,2025-04-26,Debit Card,Refunded,3859.6,TXN100148
149,PAY000149,149,2024-12-30,UPI,Completed,6759.5,TXN100149
150,PAY000150,150,2023-05-23,Cash,Completed,22194.7,TXN100150
151,PAY000151,151,2023-08-04,UPI,Refunded,12592.79,TXN100151
152,PAY000152,152,2025-03-12,UPI,Completed,55261.09,TXN100152
153,PAY000153,153,2024-08-08,Debit Card,Refunded,67693.11,TXN100153
154,PAY000154,154,2023-07-12,Cash,Refunded,35076.1,TXN100154
155,PAY000155,155,2024-12-20,Debit Card,Pending,73088.5,TXN100155
156,PAY000156,156,2025-04-24,Credit Card,Refunded,42502.36,TXN100156
157,PAY000157,157,2023-11-11,Net Banking,Completed,79815.99,TXN100157
158,PAY000158,158,2023-10-25,Credit Card,Completed,6871.41,TXN100158
159,PAY000159,159,2023-02-12,Net Banking,Refunded,45534.68,TXN100159
160,PAY000160,160,2023-02-12,Debit Card,Refunded,36278.5,TXN100160
161,PAY000161,161,2024-11-30,Credit Card,Completed,16212.17,TXN100161
162,PAY000162,162,2024-12-21,UPI,Completed,6130.24,TXN100162
163,PAY000163,163,2024-06-28,UPI,Refunded,14531.48,TXN100163
164,PAY000164,164,2024-08-05,Credit Card,Refunded,60934.89,TXN100164
165,PAY000165,165,2024-11-12,UPI,Completed,61239.68,TXN100165
166,PAY000166,166,2023-03-04,Credit Card,Pending,74532.56,TXN100166
167,PAY000167,167,2024-11-27,UPI,Completed,52997.38,TXN100167
168,PAY000168,168,2023-11-21,Debit Card,Pending,63748.45,TXN100168
169,PAY000169,169,2024-09-12,Credit Card,Refunded,9045.03,TXN100169
170,PAY000170,170,2023-09-12,Cash,Completed,26883.98,TXN100170
171,PAY000171,171,2023-08-26,Debit Card,Completed,2850.82,TXN100171
172,PAY000172,172,2023-12-20,UPI,Refunded,10648.2,TXN100172
173,PAY000173,173,2023-01-25,Credit Card,Refunded,6782.58,TXN100173
174,PAY000174,174,2024-01-21,Credit Card,Completed,20281.07,TXN100174
175,PAY000175,175,2025-05-20,Net Banking,Pending,14399.4,TXN100175
176,PAY000176,176,2024-01-29,Credit Card,Completed,78730.71,TXN100176
177,PAY000177,177,2024-08-13,Net Banking,Pending,25200.6,TXN100177
178,PAY000178,178,2024-07-24,Cash,Refunded,26122.2,TXN100178
179,PAY000179,179,2023-01-02,UPI,Refunded,28686.2,TXN100179
180,PAY000180,180,2024-07-17,Net Banking,Pending,41909.3,TXN100180
181,PAY000181,181,2024-01-11,Cash,Refunded,66828.17,TXN100181
182,PAY000182,182,2025-01-09,Net Banking,Refunded,20871.82,TXN100182
183,PAY000183,183,2025-03-07,Cash,Pending,8860.66,TXN100183
184,PAY000184,184,2023-08-02,UPI,Refunded,12054.79,TXN100184
185,PAY000185,185,2023-05-15,UPI,Completed,32628.29,TXN100185
186,PAY000186,186,2023-12-16,Debit Card,Completed,68959.59,TXN100186
187,PAY000187,187,2024-04-19,UPI,Refunded,23082.98,TXN100187
188,PAY000188,188,2024-11-01,Credit Card,Refunded,58845.22,TXN100188
189,PAY000189,189,2023-04-16,Net Banking,Refunded,27856.94,TXN100189
190,PAY000190,190,2023-06-18,Debit Card,Refunded,27056.87,TXN100190
191,PAY000191,191,2024-01-09,Debit Card,Pending,31693.48,TXN100191
192,PAY000192,192,2023-12-25,Credit Card,Refunded,49145.76,TXN100192
193,PAY000193,193,2023-11-30,UPI,Pending,80014.9,TXN100193
194,PAY000194,194,2023-03-18,Net Banking,Pending,41352.85,TXN100194
195,PAY000195,195,2023-07-20,Cash,Refunded,64093.39,TXN100195
196,PAY000196,196,2023-12-29,Net Banking,Refunded,40484.8,TXN100196
197,PAY000197,197,2024-11-10,Net Banking,Pending,59485.02,TXN100197
198,PAY000198,198,2024-02-21,UPI,Pending,49435.66,TXN100198
199,PAY000199,199,2023-10-14,UPI,Refunded,84849.52,TXN100199
200,PAY000200,200,2023-05-21,Net Banking,Pending,1334.9,TXN100200
201,PAY000201,201,2024-03-10,Net Banking,Refunded,42237.4,TXN100201
202,PAY000202,202,2024-07-12,Debit Card,Pending,6775.64,TXN100202
203,PAY000203,203,2024-12-22,Cash,Pending,58857.04,TXN100203
204,PAY000204,204,2025-02-20,Debit Card,Pending,15370.33,TXN100204
205,PAY000205,205,2023-06-11,Debit Card,Refunded,4392.13,TXN100205
206,PAY000206,206,2023-06-28,Debit Card,Pending,32299.64,TXN100206
207,PAY000207,207,2024-01-23,Debit Card,Pending,18499.37,TXN100207
208,PAY000208,208,2024-08-27,UPI,Refunded,74152.05,TXN100208
209,PAY000209,209,2023-12-03,Debit Card,Pending,18823.41,TXN100209
210,PAY000210,210,2024-10-09,Debit Card,Completed,81069.34,TXN100210
211,PAY000211,211,2025-05-06,Cash,Pending,80707.91,TXN100211
212,PAY000212,212,2023-12-23,Cash,Refunded,52511.25,TXN100212
213,PAY000213,213,2024-10-29,Debit Card,Completed,76479.02,TXN100213
214,PAY000214,214,2023-03-09,UPI,Refunded,79708.5,TXN100214
215,PAY000215,215,2025-02-23,UPI,Refunded,83402.46,TXN100215
216,PAY000216,216,2024-03-09,Cash,Refunded,63688.95,TXN100216
217,PAY000217,217,2023-01-03,Debit Card,Completed,8489.83,TXN100217
218,PAY000218,218,2024-04-08,Debit Card,Completed,14846.17,TXN100218
219,PAY000219,219,2024-06-16,Debit Card,Completed,72280.03,TXN100219
220,PAY000220,220,2023-01-17,Debit Card,Pending,41665.82,TXN100220
221,PAY000221,221,2025-06-16,Credit Card,Pending,40494.58,TXN100221
222,PAY000222,222,2023-02-06,Cash,Refunded,48122.85,TXN100222
223,PAY000223,223,2024-01-18,UPI,Pending,51197.99,TXN100223
224,PAY000224,224,2023-07-29,Debit Card,Refunded,93668.9,TXN100224
225,PAY000225,225,2025-05-25,Cash,Refunded,795.85,TXN100225
226,PAY000226,226,2024-11-17,Cash,Completed,61880.05,TXN100226
227,PAY000227,227,2023-06-25,Debit Card,Pending,50064.26,TXN100227
228,PAY000228,228,2025-03-06,Cash,Completed,89141.24,TXN100228
229,PAY000229,229,2023-03-05,Net Banking,Refunded,70261.71,TXN100229
230,PAY000230,230,2025-05-08,UPI,Pending,20342.15,TXN100230
231,PAY000231,231,2024-03-21,Cash,Pending,35991.5,TXN100231
232,PAY000232,232,2023-06-23,Credit Card,Pending,19774.44,TXN100232
233,PAY000233,233,2024-09-30,Debit Card,Pending,21768.2,TXN100233
234,PAY000234,234,2025-03-10,Credit Card,Refunded,89347.79,TXN100234
235,PAY000235,235,2024-10-12,Net Banking,Completed,28108.8,TXN100235
236,PAY000236,236,2024-06-08,Debit Card,Completed,51273.56,TXN100236
237,PAY000237,237,2025-01-23,Cash,Pending,33943.69,TXN100237
238,PAY000238,238,2023-04-01,UPI,Refunded,16545.12,TXN100238
239,PAY000239,239,2024-09-16,Credit Card,Refunded,32339.15,TXN100239
240,PAY000240,240,2023-10-10,Net Banking,Pending,40250.92,TXN100240
241,PAY000241,241,2024-05-30,Cash,Completed,15448.37,TXN100241
242,PAY000242,242,2025-04-12,UPI,Completed,73667.91,TXN100242
243,PAY000243,243,2023-06-26,UPI,Refunded,27215.96,TXN100243
244,PAY000244,244,2023-11-09,Cash,Completed,24820.8,TXN100244
245,PAY000245,245,2024-05-17,Cash,Pending,48943.9,TXN100245
246,PAY000246,246,2023-04-25,Debit Card,Completed,86408.63,TXN100246
247,PAY000247,247,2024-12-21,Credit Card,Completed,91792.73,TXN100247
248,PAY000248,248,2023-04-10,UPI,Refunded,20303.91,TXN100248
249,PAY000249,249,2024-05-19,Debit Card,Completed,14836.59,TXN100249
250,PAY000250,250,2023-03-02,Net Banking,Refunded,30039.6,TXN100250
251,PAY000251,251,2023-08-17,Debit Card,Completed,13550.97,TXN100251
252,PAY000252,252,2025-02-17,UPI,Pending,58979.96,TXN100252
253,PAY000253,253,2024-12-06,Cash,Pending,22437.52,TXN100253
254,PAY000254,254,2023-03-25,Net Banking,Pending,42361.82,TXN100254
255,PAY000255,255,2024-06-10,UPI,Pending,63492.12,TXN100255
256,PAY000256,256,2024-11-03,Net Banking,Refunded,62301.42,TXN100256
257,PAY000257,257,2025-04-28,Credit Card,Completed,31589.44,TXN100257
258,PAY000258,258,2025-05-24,UPI,Completed,51704.11,TXN100258
259,PAY000259,259,2024-12-06,Debit Card,Refunded,88945.12,TXN100259
260,PAY000260,260,2025-04-25,Debit Card,Refunded,86643.4,TXN100260
261,PAY000261,261,2023-10-06,Cash,Pending,88824.46,TXN100261
262,PAY000262,262,2023-10-29,Credit Card,Completed,67067.32,TXN100262
263,PAY000263,263,2023-11-10,UPI,Completed,34718.47,TXN100263
264,PAY000264,264,2023-09-21,UPI,Refunded,62072.06,TXN100264
265,PAY000265,265,2023-10-18,Debit Card,Refunded,50172.01,TXN100265
266,PAY000266,266,2023-03-11,Debit Card,Refunded,72090.92,TXN100266
267,PAY000267,267,2024-06-30,Net Banking,Refunded,70675.9,TXN100267
268,PAY000268,268,2024-09-17,UPI,Refunded,2815.36,TXN100268
269,PAY000269,269,2023-10-28,UPI,Completed,63829.6,TXN100269
270,PAY000270,270,2024-03-23,Cash,Completed,15205.9,TXN100270
271,PAY000271,271,2023-08-08,Net Banking,Completed,79393.89,TXN100271
272,PAY000272,272,2024-01-06,Credit Card,Refunded,61223.46,TXN100272
273,PAY000273,273,2025-02-19,Credit Card,Completed,22100.46,TXN100273
274,PAY000274,274,2023-07-10,Net Banking,Completed,38231.0,TXN100274
275,PAY000275,275,2023-02-14,Debit Card,Refunded,61277.18,TXN100275
276,PAY000276,276,2024-05-03,UPI,Completed,52277.22,TXN100276
277,PAY000277,277,2024-09-10,Cash,Completed,33597.96,TXN100277
278,PAY000278,278,2024-01-17,UPI,Completed,31907.98,TXN100278
279,PAY000279,279,2024-10-17,Debit Card,Pending,80135.56,TXN100279
280,PAY000280,280,2023-08-20,UPI,Refunded,24193.15,TXN100280
281,PAY000281,281,2025-01-14,Cash,Completed,50132.75,TXN100281
282,PAY000282,282,2024-08-15,UPI,Refunded,78511.83,TXN100282
283,PAY000283,283,2023-07-05,UPI,Pending,84928.71,TXN100283
284,PAY000284,284,2025-03-09,UPI,Pending,35377.08,TXN100284
285,PAY000285,285,2024-08-25,Debit Card,Completed,28477.08,TXN100285
286,PAY000286,286,2024-07-31,Net Banking,Refunded,29954.34,TXN100286
287,PAY000287,287,2023-01-13,UPI,Completed,68058.12,TXN100287
288,PAY000288,288,2023-10-11,UPI,Completed,27963.88,TXN100288
289,PAY000289,289,2024-01-21,Credit Card,Pending,69246.55,TXN100289
290,PAY000290,290,2024-11-02,Net Banking,Pending,1061.47,TXN100290
291,PAY000291,291,2025-05-09,UPI,Completed,69203.24,TXN100291
292,PAY000292,292,2023-06-21,Net Banking,Refunded,11667.34,TXN100292
293,PAY000293,293,2023-03-21,Credit Card,Completed,57912.59,TXN100293
294,PAY000294,294,2025-05-06,Credit Card,Refunded,75434.87,TXN100294
295,PAY000295,295,2024-09-30,Credit Card,Refunded,42125.19,TXN100295
296,PAY000296,296,2025-04-14,Debit Card,Refunded,81064.5,TXN100296
297,PAY000297,297,2025-03-03,Net Banking,Pending,32723.45,TXN100297
298,PAY000298,298,2024-02-20,UPI,Completed,54886.69,TXN100298
299,PAY000299,299,2023-10-10,UPI,Refunded,7998.1,TXN100299
300,PAY000300,300,2024-11-12,Credit Card,Completed,60345.93,TXN100300
301,PAY000301,301,2024-01-12,UPI,Refunded,46379.62,TXN100301
302,PAY000302,302,2025-02-07,Debit Card,Completed,52501.69,TXN100302
303,PAY000303,303,2024-05-01,Credit Card,Completed,34277.48,TXN100303
304,PAY000304,304,2024-07-13,Debit Card,Pending,13035.46,TXN100304
305,PAY000305,305,2023-06-30,Credit Card,Completed,31070.66,TXN100305
306,PAY000306,306,2024-02-21,Net Banking,Refunded,81492.37,TXN100306
307,PAY000307,307,2024-11-10,UPI,Refunded,14716.66,TXN100307
308,PAY000308,308,2023-06-06,Net Banking,Completed,8540.37,TXN100308
309,PAY000309,309,2024-11-20,Cash,Completed,52886.7,TXN100309
310,PAY000310,310,2023-06-06,Credit Card,Completed,22062.38,TXN100310
311,PAY000311,311,2025-02-12,Debit Card,Completed,45126.43,TXN100311
312,PAY000312,312,2023-04-05,Debit Card,Pending,11668.96,TXN100312
313,PAY000313,313,2023-12-13,Debit Card,Completed,8597.86,TXN100313
314,PAY000314,314,2023-09-19,Net Banking,Refunded,67148.82,TXN100314
315,PAY000315,315,2024-12-15,Net Banking,Refunded,19525.34,TXN100315
316,PAY000316,316,2023-10-12,Debit Card,Completed,62617.29,TXN100316
317,PAY000317,317,2023-06-24,UPI,Refunded,41092.27,TXN100317
318,PAY000318,318,2023-05-31,Debit Card,Pending,34960.58,TXN100318
319,PAY000319,319,2023-08-23,UPI,Completed,8233.57,TXN100319
320,PAY000320,320,2025-04-02,Cash,Pending,39651.95,TXN100320
321,PAY000321,321,2023-02-17,Debit Card,Completed,11092.52,TXN100321
322,PAY000322,322,2024-08-02,Debit Card,Completed,31956.17,TXN100322
323,PAY000323,323,2024-10-16,Debit Card,Pending,13630.89,TXN100323
324,PAY000324,324,2023-12-22,Debit Card,Completed,40010.74,TXN100324
325,PAY000325,325,2024-03-01,UPI,Refunded,8938.49,TXN100325
326,PAY000326,326,2025-01-05,Debit Card,Completed,35936.25,TXN100326
327,PAY000327,327,2023-09-27,Cash,Completed,64047.66,TXN100327
328,PAY000328,328,2025-03-01,Net Banking,Refunded,63991.86,TXN100328
329,PAY000329,329,2024-10-09,UPI,Refunded,39483.77,TXN100329
330,PAY000330,330,2024-05-03,Net Banking,Pending,80515.67,TXN100330
331,PAY000331,331,2024-06-24,UPI,Refunded,66859.26,TXN100331
332,PAY000332,332,2025-02-20,Credit Card,Refunded,64590.79,TXN100332
333,PAY000333,333,2023-01-06,Net Banking,Pending,16279.73,TXN100333
334,PAY000334,334,2023-04-21,Credit Card,Pending,38743.38,TXN100334
335,PAY000335,335,2024-10-23,Cash,Refunded,59763.32,TXN100335
336,PAY000336,336,2024-03-25,UPI,Pending,51238.38,TXN100336
337,PAY000337,337,2024-10-18,Credit Card,Completed,50035.37,TXN100337
338,PAY000338,338,2023-02-26,Credit Card,Refunded,71747.75,TXN100338
339,PAY000339,339,2023-08-15,UPI,Pending,36410.41,TXN100339
340,PAY000340,340,2023-04-21,Net Banking,Refunded,60982.79,TXN100340
341,PAY000341,341,2023-02-28,Net Banking,Pending,44801.53,TXN100341
342,PAY000342,342,2025-03-10,Credit Card,Refunded,2625.11,TXN100342
343,PAY000343,343,2023-03-14,Net Banking,Pending,88385.67,TXN100343
344,PAY000344,344,2024-12-24,UPI,Pending,5170.95,TXN100344
345,PAY000345,345,2024-04-14,UPI,Pending,38929.65,TXN100345
346,PAY000346,346,2024-10-14,Net Banking,Pending,34174.2,TXN100346
347,PAY000347,347,2023-06-23,Debit Card,Completed,66179.03,TXN100347
348,PAY000348,348,2024-02-14,Cash,Refunded,13545.5,TXN100348
349,PAY000349,349,2024-12-06,UPI,Completed,8558.82,TXN100349
350,PAY000350,350,2024-11-22,Net Banking,Completed,19877.16,TXN100350
351,PAY000351,351,2023-04-07,Cash,Pending,84644.26,TXN100351
352,PAY000352,352,2024-05-26,UPI,Refunded,70336.28,TXN100352
353,PAY000353,353,2023-04-30,Net Banking,Refunded,21871.77,TXN100353
354,PAY000354,354,2025-05-15,UPI,Completed,6722.51,TXN100354
355,PAY000355,355,2025-01-21,Cash,Pending,73453.36,TXN100355
356,PAY000356,356,2025-03-12,Net Banking,Refunded,89999.69,TXN100356
357,PAY000357,357,2023-02-10,Debit Card,Refunded,64940.79,TXN100357
358,PAY000358,358,2023-07-03,Credit Card,Pending,64122.07,TXN100358
359,PAY000359,359,2025-03-02,Cash,Pending,83298.04,TXN100359
360,PAY000360,360,2023-05-30,UPI,Pending,18129.25,TXN100360
361,PAY000361,361,2023-11-05,Net Banking,Refunded,49186.48,TXN100361
362,PAY000362,362,2025-01-26,UPI,Completed,22244.01,TXN100362
363,PAY000363,363,2023-09-27,Cash,Pending,44575.42,TXN100363
364,PAY000364,364,2023-12-03,Credit Card,Pending,48990.6,TXN100364
365,PAY000365,365,2023-09-08,Credit Card,Completed,20600.86,TXN100365
366,PAY000366,366,2024-03-29,UPI,Pending,47973.87,TXN100366
367,PAY000367,367,2023-04-03,Credit Card,Completed,24434.51,TXN100367
368,PAY000368,368,2024-03-01,Net Banking,Completed,14983.64,TXN100368
369,PAY000369,369,2023-07-02,Net Banking,Refunded,70007.62,TXN100369
370,PAY000370,370,2023-02-14,Cash,Completed,27955.01,TXN100370
